DDCId,ObjectType,ObjectId,EqpType,EqpId,ParamName,ParamFullName,GLCode
DDC01,analogOutput,106,A0,01,cmd_vfd_00,AHU-NCR-01 VFD speed control,GL 10 00 01 A0 0 008
DDC01,analogOutput,107,A0,01,cmd_vlv_ctrl_00,AHU-NCR-01 Chilled Water Valve Control,GL 10 00 01 A0 0 009
DDC01,binaryInput,108,A0,01,sts_auto_manual_00,AHU-NCR-01 Auto/Manual Status,GL 10 00 01 A0 0 006
DDC01,binaryInput,109,A0,01,sts_filter_00,AHU-NCR-01 Fine Filter DP Switch,GL 10 00 01 A0 0 007
DDC01,binaryOutput,110,A0,01,cmd_on_off_00,AHU-NCR-01 On/Off Command,GL 10 00 01 A0 0 00A
DDC01,binaryOutput,111,A0,01,sts_on_off_00,AHU-NCR-01 On/Off Status,GL 10 00 01 A0 0 001
DDC01,analogInput,112,A0,02,par_sat_00,AHU-NCR-02 Supply Duct Temperature,GL 11 00 02 A0 0 002
DDC01,analogInput,113,A0,02,par_rat_00,AHU-NCR-02  Return Duct Temperature,GL 11 00 02 A0 0 003
DDC01,analogInput,114,A0,02,par_percent_rh_00,AHU-NCR-02 Return Duct Humidity,GL 11 00 02 A0 0 004
DDC01,analogInput,115,A0,02,sts_vfd_00,AHU-NCR-02 Fan VFD Status,GL 11 00 02 A0 0 005
DDC01,analogOutput,116,A0,02,cmd_vfd_00,AHU-NCR-02 VFD speed control,GL 11 00 02 A0 0 008
DDC01,analogOutput,117,A0,02,cmd_vlv_ctrl_00,AHU-NCR-02 Chilled Water Valve Control,GL 11 00 02 A0 0 009
DDC01,binaryInput,118,A0,02,sts_auto_manual_00,AHU-NCR-02 Auto/Manual Status,GL 11 00 02 A0 0 006
DDC01,binaryInput,119,A0,02,sts_filter_00,AHU-NCR-02 Fine Filter DP Switch,GL 11 00 02 A0 0 007
DDC01,binaryOutput,120,A0,02,cmd_on_off_00,AHU-NCR-02 On/Off Command,GL 11 00 02 A0 0 00A
DDC01,binaryOutput,121,A0,02,sts_on_off_00,AHU-NCR-02 On/Off Status,GL 11 00 02 A0 0 001
DDC01,analogInput,122,A0,03,par_sat_00,AHU-NCR-03 Supply Duct Temperature,GL 12 00 03 A0 0 002
DDC01,analogInput,123,A0,03,par_rat_00,AHU-NCR-03  Return Duct Temperature,GL 12 00 03 A0 0 003
DDC01,analogInput,124,A0,03,par_percent_rh_00,AHU-NCR-03 Return Duct Humidity,GL 12 00 03 A0 0 004
DDC01,analogInput,125,A0,03,sts_vfd_00,AHU-NCR-03 Fan VFD Status,GL 12 00 03 A0 0 005
DDC01,analogOutput,126,A0,03,cmd_vfd_00,AHU-NCR-03 VFD speed control,GL 12 00 03 A0 0 008
DDC01,analogOutput,127,A0,03,cmd_vlv_ctrl_00,AHU-NCR-03 Chilled Water Valve Control,GL 12 00 03 A0 0 009
DDC01,binaryInput,128,A0,03,sts_auto_manual_00,AHU-NCR-03 Auto/Manual Status,GL 12 00 03 A0 0 006
DDC01,binaryInput,129,A0,03,sts_filter_00,AHU-NCR-03 Fine Filter DP Switch,GL 12 00 03 A0 0 007
DDC01,binaryOutput,130,A0,03,cmd_on_off_00,AHU-NCR-03 On/Off Command,GL 12 00 03 A0 0 00A
DDC01,binaryOutput,131,A0,03,cmd_on_off_00,AHU-NCR-03 On/Off Status,GL 12 00 03 A0 0 001
DDC01,analogInput,132,A0,04,par_sat_00,AHU-NCR-04 Supply Duct Temperature,GL 13 00 04 A0 0 002
DDC01,analogInput,133,A0,04,par_rat_00,AHU-NCR-04  Return Duct Temperature,GL 13 00 04 A0 0 003
DDC01,analogInput,134,A0,04,par_percent_rh_00,AHU-NCR-04 Return Duct Humidity,GL 13 00 04 A0 0 004
DDC01,analogInput,135,A0,04,sts_vfd_00,AHU-NCR-04 Fan VFD Status,GL 13 00 04 A0 0 005
DDC01,analogOutput,136,A0,04,cmd_vfd_00,AHU-NCR-04 VFD speed control,GL 13 00 04 A0 0 008
DDC01,analogOutput,137,A0,04,cmd_vlv_ctrl_00,AHU-NCR-04 Chilled Water Valve Control,GL 13 00 04 A0 0 009
DDC01,binaryInput,138,A0,04,sts_auto_manual_00,AHU-NCR-04 Auto/Manual Status,GL 13 00 04 A0 0 006
DDC01,binaryInput,139,A0,04,sts_filter_00,AHU-NCR-04 Fine Filter DP Switch,GL 13 00 04 A0 0 007
